model,condition,family,alpha,h_baseline_norm,perturbation_energy,delta_logit,delta_logit_ci95_lo,delta_logit_ci95_hi,behavioral_efficiency,ratio_vs_random_0,argmax_cosine_with_caa,argmax_layer
gemma-2-27b-it,caa,targeted,-2000.0,19750.2,0.1013,-0.8795,-0.8801,-0.8788,8.6848,11.648,1.0,22
gemma-2-27b-it,skeptic,critical,2000.0,19750.2,0.1013,-0.7108,-0.7259,-0.6957,7.0194,9.414,0.3366489112377167,44
gemma-2-27b-it,devils_advocate,critical,2000.0,19750.2,0.1013,-0.5207,-0.5388,-0.5026,5.1417,6.896,0.362331360578537,44
gemma-2-27b-it,judge,critical,2000.0,19750.2,0.1013,-0.5564,-0.5599,-0.5529,5.4947,7.37,0.24446304142475128,44
gemma-2-27b-it,peacekeeper,conformist,5000.0,19750.2,0.2532,-0.7137,-0.7286,-0.6989,2.8193,3.781,0.27414971590042114,44
gemma-2-27b-it,pacifist,conformist,2000.0,19750.2,0.1013,0.0999,0.0984,0.1015,0.9868,1.324,0.24537719786167145,44
gemma-2-27b-it,collaborator,conformist,500.0,19750.2,0.0253,0.0451,0.0385,0.0517,1.7816,2.39,-0.16507665812969208,22
gemma-2-27b-it,facilitator,conformist,-5000.0,19750.2,0.2532,-0.727,-0.736,-0.718,2.8717,3.851,0.28448086977005005,38
gemma-2-27b-it,random_0,null,2000.0,19750.2,0.1013,-0.0755,-0.0847,-0.0663,0.7456,1.0,0.13508504629135132,44
qwen3-32b,caa,targeted,-200.0,408.3,0.4898,-1.9651,-2.1079,-1.8223,4.0117,0.95,1.0,32
qwen3-32b,skeptic,critical,200.0,408.3,0.4898,-1.8231,-1.8889,-1.7573,3.7219,0.882,0.3586561679840088,49
qwen3-32b,devils_advocate,critical,200.0,408.3,0.4898,-2.2721,-2.4933,-2.0509,4.6385,1.099,0.4015147089958191,49
qwen3-32b,judge,critical,200.0,408.3,0.4898,-1.6989,-1.7838,-1.614,3.4683,0.822,0.26140686869621277,47
qwen3-32b,peacekeeper,conformist,-200.0,408.3,0.4898,-0.7091,-0.8319,-0.5863,1.4476,0.343,0.3562421500682831,46
qwen3-32b,pacifist,conformist,500.0,408.3,1.2246,-2.9786,-3.175,-2.7822,2.4323,0.576,0.1911151260137558,51
qwen3-32b,collaborator,conformist,-100.0,408.3,0.2449,-0.0294,-0.0479,-0.0108,0.1199,0.028,0.1860760748386383,46
qwen3-32b,facilitator,conformist,-200.0,408.3,0.4898,-0.4686,-0.5804,-0.3569,0.9567,0.227,0.3346806466579437,46
qwen3-32b,random_0,null,200.0,408.3,0.4898,-2.068,-2.1277,-2.0083,4.2218,1.0,0.34346622228622437,47
