model,persona,n_prompts,inject_layer,inject_cos_observed,inject_cos_expected,inject_cos_abs_err,midpoint_layer,midpoint_cos_mean,midpoint_cos_ci_lo,midpoint_cos_ci_hi,final_layer,final_cos_mean,final_cos_ci_lo,final_cos_ci_hi,argmax_layer,argmax_cos_mean,norm_persona_inject,norm_persona_final,norm_persona_decay,norm_caa_inject,norm_caa_final,norm_caa_decay
gemma-2-27b-it,skeptic,600,22,-0.0644,-0.064,0.0004,33,0.1928,0.1907,0.1949,45,0.2998,0.2973,0.3023,44,0.3366,2000.41,9443.74,4.721,1995.58,5684.55,2.849
gemma-2-27b-it,devils_advocate,600,22,0.0028,-0.003,0.0058,33,0.2265,0.2244,0.2285,45,0.3313,0.3286,0.334,44,0.3623,1998.58,9737.68,4.872,1995.58,5684.55,2.849
gemma-2-27b-it,judge,600,22,-0.0816,-0.0854,0.0038,33,0.1755,0.1729,0.178,45,0.1939,0.1912,0.1967,44,0.2445,2004.27,10032.47,5.006,1995.58,5684.55,2.849
gemma-2-27b-it,peacekeeper,600,22,-0.0638,-0.0651,0.0013,33,0.2362,0.234,0.2383,45,0.2361,0.2339,0.2384,44,0.2741,4998.09,16801.71,3.362,1995.58,5684.55,2.849
gemma-2-27b-it,pacifist,600,22,-0.0716,-0.0757,0.0041,33,0.1706,0.1677,0.1734,45,0.1839,0.1803,0.1875,44,0.2454,2004.18,8498.52,4.24,1995.58,5684.55,2.849
gemma-2-27b-it,collaborator,600,22,-0.1651,-0.1648,0.0003,33,0.0324,0.0296,0.0352,45,0.1214,0.1174,0.1255,22,-0.1651,500.88,2134.96,4.262,1995.58,5684.55,2.849
gemma-2-27b-it,facilitator,600,22,0.1462,0.1459,0.0003,33,0.2174,0.2148,0.2201,45,0.179,0.1719,0.1862,38,0.2845,4998.31,16488.62,3.299,1995.58,5684.55,2.849
gemma-2-27b-it,random_0,600,22,-0.0063,-0.0075,0.0012,33,0.0897,0.0878,0.0917,45,0.1254,0.1219,0.129,44,0.1351,2000.07,5856.59,2.928,1995.58,5684.55,2.849
qwen3-32b,skeptic,600,32,0.1036,0.1049,0.0013,47,0.3552,0.3537,0.3566,63,0.2646,0.26,0.2692,49,0.3587,200.12,1306.73,6.53,200.0,1109.91,5.55
qwen3-32b,devils_advocate,600,32,0.1075,0.1078,0.0003,47,0.3988,0.3976,0.4,63,0.2551,0.2513,0.2589,49,0.4015,200.01,1315.05,6.575,200.0,1109.91,5.55
qwen3-32b,judge,600,32,0.0408,0.0423,0.0015,47,0.2614,0.2597,0.2631,63,0.2078,0.2049,0.2107,47,0.2614,199.88,1424.26,7.126,200.0,1109.91,5.55
qwen3-32b,peacekeeper,600,32,-0.0155,-0.0171,0.0016,47,0.3479,0.3465,0.3493,63,0.2976,0.2942,0.3009,46,0.3562,200.12,1013.22,5.063,200.0,1109.91,5.55
qwen3-32b,pacifist,600,32,-0.0328,-0.032,0.0008,47,0.1754,0.1744,0.1765,63,0.1353,0.1328,0.1378,51,0.1911,500.24,3003.47,6.004,200.0,1109.91,5.55
qwen3-32b,collaborator,600,32,-0.0204,-0.0216,0.0012,47,0.1703,0.169,0.1715,63,0.1767,0.1733,0.18,46,0.1861,99.9,575.44,5.76,200.0,1109.91,5.55
qwen3-32b,facilitator,600,32,-0.054,-0.0556,0.0016,47,0.3258,0.3243,0.3272,63,0.2824,0.2789,0.286,46,0.3347,200.01,1024.78,5.124,200.0,1109.91,5.55
qwen3-32b,random_0,600,32,-0.0066,-0.0065,0.0001,47,0.3435,0.3417,0.3452,63,0.2883,0.2843,0.2923,47,0.3435,200.01,1118.41,5.592,200.0,1109.91,5.55
